Company,Company Name,Region,Sales Document,Document Date,Customer Code,Customer Name,Product Code,Product Description,Quantity,Sales RM
1010US,Urban Right,America,66030,1/6/2020,8010,Dellicia,103,Women type T simple white,120,1440
1010US,Urban Right,America,66030,2/6/2020,8010,Dellicia,104,Women type T simple black,150,1800
1010US,Urban Right,America,66032,1/6/2020,8010,Dellicia,103,Women type T simple white,170,2040
1010US,Urban Right,America,66032,2/6/2020,8010,Dellicia,104,Women type T simple black,140,1680
1010US,Urban Right,America,66031,1/6/2020,8020,Erma,103,Women type T simple white,140,1680
1010US,Urban Right,America,66031,2/6/2020,8020,Erma,104,Women type T simple black,150,1800
1010US,Urban Right,America,66031,7/6/2020,8020,Erma,105,Women crop top black,100,1000
1010US,Urban Right,America,68112,8/6/2020,8010,Dellicia,104,Women type T simple black,180,2160
1010US,Urban Right,America,68112,9/6/2020,8010,Dellicia,105,Women crop top black,120,1200
1010US,Urban Right,America,68116,10/6/2020,8020,Erma,104,Women type T simple black,150,1800
1010US,Urban Right,America,68116,11/6/2020,8020,Erma,105,Women crop top black,190,1900
1010US,Urban Right,America,68116,12/6/2020,8020,Erma,107,Women basics,160,800
1010US,Urban Right,America,68116,13/6/2020,8010,Dellicia,104,Women type T simple black,160,1920
1010US,Urban Right,America,68116,14/6/2020,8010,Dellicia,105,Women crop top black,190,1900
1010US,Urban Right,America,65662,15/6/2020,8020,Erma,103,Women type T simple white,120,1440
1010US,Urban Right,America,65662,16/6/2020,8020,Erma,104,Women type T simple black,110,1320
1010US,Urban Right,America,65666,2/6/2020,8010,Dellicia,103,Women type T simple white,120,1440
1010US,Urban Right,America,65666,3/6/2020,8010,Dellicia,104,Women type T simple black,140,1680
1010US,Urban Right,America,65666,4/6/2020,8010,Dellicia,105,Women crop top black,160,1600
1010US,Urban Right,America,65666,5/6/2020,8020,Erma,107,Women basics,120,600
1010US,Urban Right,America,65666,6/6/2020,8020,Erma,103,Women type T simple white,200,2400
1010US,Urban Right,America,66015,10/6/2020,8010,Dellicia,103,Women type T simple white,140,1680
1010US,Urban Right,America,66015,11/6/2020,8010,Dellicia,104,Women type T simple black,140,1680
1010US,Urban Right,America,66017,12/6/2020,8010,Dellicia,103,Women type T simple white,140,1680
1010US,Urban Right,America,66017,13/6/2020,8010,Dellicia,104,Women type T simple black,140,1680
1010US,Urban Right,America,66016,14/6/2020,8020,Erma,103,Women type T simple white,120,1440
1010US,Urban Right,America,66016,15/6/2020,8020,Erma,104,Women type T simple black,130,1560
1010US,Urban Right,America,66016,16/6/2020,8020,Erma,105,Women crop top black,120,1200
1010US,Urban Right,America,68097,17/6/2020,8010,Dellicia,104,Women type T simple black,140,1680
1010US,Urban Right,America,68097,18/6/2020,8010,Dellicia,105,Women crop top black,130,1300
1010US,Urban Right,America,68099,19/6/2020,8020,Erma,104,Women type T simple black,120,1440
1010US,Urban Right,America,68099,20/6/2020,8020,Erma,105,Women crop top black,140,1400
1010US,Urban Right,America,68099,21/6/2020,8020,Erma,107,Women basics,170,850
1010US,Urban Right,America,68101,15/6/2020,8010,Dellicia,104,Women type T simple black,190,2280
1010US,Urban Right,America,68101,16/6/2020,8010,Dellicia,105,Women crop top black,140,1400
1010US,Urban Right,America,65627,17/6/2020,8020,Erma,103,Women type T simple white,140,1680
1010US,Urban Right,America,65627,18/6/2020,8020,Erma,104,Women type T simple black,160,1920
1010US,Urban Right,America,65629,19/6/2020,8010,Dellicia,103,Women type T simple white,190,2280
1010US,Urban Right,America,65629,20/6/2020,8010,Dellicia,104,Women type T simple black,130,1560
1010US,Urban Right,America,65629,21/6/2020,8010,Dellicia,105,Women crop top black,140,1400
1010US,Urban Right,America,65631,22/6/2020,8020,Erma,107,Women basics,190,950
1010US,Urban Right,America,65631,23/6/2020,8020,Erma,103,Women type T simple white,120,1440
1020US,Meta Creations,America,24030,1/6/2020,8020,Erma,101,Men type T simple white,130,1560
1020US,Meta Creations,America,24030,2/6/2020,8020,Erma,102,Men type T simple black,30,360
1020US,Meta Creations,America,24030,3/6/2020,8020,Erma,106,Men basics,60,300
1020US,Meta Creations,America,24030,4/6/2020,8020,Erma,108,Laptop bag black,80,2240
